Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
311,Dylan Moore,32,2TM,AL,0.3,106,243,219,35,44,5,0,11,25,14,5,20,82,0.201,0.267,0.374,0.642,84,0.288,85,82,1,1,0,3,0,H4935/6D8,
311,Dylan Moore,32,SEA,AL,0.2,88,213,192,29,37,5,0,9,19,12,4,19,76,0.193,0.263,0.359,0.622,78,0.283,80,69,1,0,0,2,0,H9435/6D8,
311,Dylan Moore,32,TEX,AL,0.2,18,30,27,6,7,0,0,2,6,2,1,1,6,0.259,0.3,0.481,0.781,123,0.326,120,13,0,1,0,1,0,4/HD39,
312,LaMonte Wade Jr.*,31,2TM,2LG,-1.7,80,242,209,19,35,8,2,2,18,1,0,27,58,0.167,0.271,0.254,0.524,52,0.247,53,53,2,3,2,1,1,39H/D7,
312,LaMonte Wade Jr.*,31,SFG,NL,-1.2,50,169,144,12,24,8,2,1,15,0,0,21,35,0.167,0.275,0.271,0.546,58,0.255,61,39,2,1,2,1,1,3/HD,
312,LaMonte Wade Jr.*,31,LAA,AL,-0.5,30,73,65,7,11,0,0,1,3,1,0,6,23,0.169,0.26,0.215,0.476,37,0.227,35,14,0,2,0,0,0,9/H37,
313,Nick Fortes,28,2TM,2LG,0.7,97,242,218,19,50,9,1,5,21,1,0,14,47,0.229,0.296,0.349,0.644,80,0.293,81,76,7,7,2,1,0,2H/D,
313,Nick Fortes,28,MIA,NL,0.5,59,141,129,11,31,6,1,2,10,0,0,7,22,0.24,0.288,0.349,0.637,77,0.278,71,45,4,2,2,1,0,2/HD,
313,Nick Fortes,28,TBR,AL,0.3,38,101,89,8,19,3,0,3,11,1,0,7,25,0.213,0.307,0.348,0.655,83,0.313,96,31,3,5,0,0,0,2/HD,
314,Dylan Carlson#,26,BAL,AL,-0.7,83,241,217,17,44,9,1,6,20,3,3,21,54,0.203,0.278,0.336,0.614,73,0.274,75,73,3,2,0,1,0,798H,
315,Alexander Canario,25,PIT,NL,0.4,87,234,216,25,47,6,1,6,20,3,1,17,80,0.218,0.274,0.338,0.611,67,0.279,68,73,5,0,0,1,0,789H/D,
316,Jakob Marsee*,24,MIA,NL,1.9,55,234,209,28,61,18,3,5,33,14,6,22,48,0.292,0.363,0.478,0.842,134,0.365,132,100,2,2,0,1,0,87/9H,ROY-8
317,Jac Caglianone*,22,KCR,AL,-1.3,62,232,210,19,33,6,1,7,18,1,0,18,52,0.157,0.237,0.295,0.532,49,0.238,43,62,4,4,0,0,0,93/DH,
318,Travis d'Arnaud,36,LAA,AL,-0.2,69,231,213,16,42,13,0,6,21,0,0,13,74,0.197,0.255,0.343,0.598,67,0.26,61,73,5,4,0,1,0,2/HD,
319,Davis Schneider,26,TOR,AL,1.3,82,227,188,33,44,5,0,11,31,3,1,36,60,0.234,0.361,0.436,0.797,117,0.36,127,82,4,2,0,1,0,74H/5D,
320,Dominic Smith*,30,SFG,NL,0.4,63,225,204,26,58,12,0,5,33,2,0,15,42,0.284,0.333,0.417,0.75,114,0.329,112,85,5,2,0,4,0,3/HD9,
321,Tim Tawa,26,ARI,NL,0.5,74,225,199,29,40,8,0,7,18,8,2,20,64,0.201,0.274,0.347,0.62,72,0.284,71,69,6,1,2,3,0,4387H/59,
322,Jake McCarthy*,27,ARI,NL,-0.6,67,222,206,18,42,7,5,4,20,6,0,10,40,0.204,0.247,0.345,0.591,63,0.271,60,71,2,2,3,1,0,789/HD,
