Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
391,Alan Roden*,25,MIN,AL,-0.4,12,40,38,5,6,1,0,1,1,1,0,0,13,0.158,0.2,0.263,0.463,27,0.212,18,10,0,2,0,0,0,7/89,
392,Jahmai Jones,27,DET,AL,0.9,72,150,129,21,37,11,1,7,23,2,0,18,32,0.287,0.387,0.55,0.937,157,0.403,161,71,3,3,0,0,1,HD97/4,
393,Bryce Teodosio,26,LAA,AL,0.5,50,150,138,12,28,7,2,1,7,7,1,5,47,0.203,0.248,0.304,0.553,55,0.247,45,42,2,4,1,2,0,8,
394,Derek Hill,29,2TM,2LG,1.1,57,149,134,19,29,6,0,3,11,7,0,9,48,0.216,0.281,0.328,0.609,70,0.285,67,44,3,3,3,0,0,8/HD,
394,Derek Hill,29,MIA,NL,0.9,53,141,127,19,27,6,0,3,10,7,0,9,46,0.213,0.275,0.331,0.606,69,0.285,66,42,3,2,3,0,0,8/HD,
394,Derek Hill,29,CHW,AL,0.2,4,8,7,0,2,0,0,0,1,0,0,0,2,0.286,0.375,0.286,0.661,90,0.3,88,2,0,1,0,0,0,/8H,
395,Will Wagner*,26,2TM,2LG,-0.6,55,149,129,15,29,7,0,0,7,1,0,17,28,0.225,0.324,0.279,0.603,69,0.297,81,36,3,2,1,0,0,5H3/D4,
395,Will Wagner*,26,TOR,AL,-0.5,40,132,114,13,27,7,0,0,7,1,0,15,26,0.237,0.336,0.298,0.634,76,0.311,91,34,2,2,1,0,0,53/DH4,
395,Will Wagner*,26,SDP,NL,-0.1,15,17,15,2,2,0,0,0,0,0,0,2,2,0.133,0.235,0.133,0.369,7,0.188,8,2,1,0,0,0,0,H/45,
396,Brandon Lockridge,28,2TM,NL,0.2,67,148,134,17,31,7,1,0,11,10,1,8,36,0.231,0.276,0.299,0.574,61,0.266,52,40,2,1,3,2,0,78H9/D,
396,Brandon Lockridge,28,SDP,NL,-0.2,47,95,88,9,19,4,0,0,5,8,1,4,24,0.216,0.258,0.261,0.519,46,0.247,37,23,2,1,2,0,0,78H/9,
396,Brandon Lockridge,28,MIL,NL,0.4,20,53,46,8,12,3,1,0,6,2,0,4,12,0.261,0.308,0.37,0.677,88,0.3,79,17,0,0,1,2,0,/89H7D,
397,James Outman*,28,2TM,2LG,-1,59,148,134,19,18,5,1,6,11,1,0,12,63,0.134,0.216,0.321,0.537,47,0.248,48,43,0,2,0,0,0,897/HD,
397,James Outman*,28,LAD,NL,-0.2,22,44,39,8,4,1,0,2,4,0,0,4,18,0.103,0.205,0.282,0.487,36,0.221,31,11,0,1,0,0,0,8/H9,
397,James Outman*,28,MIN,AL,-0.8,37,104,95,11,14,4,1,4,7,1,0,8,45,0.147,0.221,0.337,0.558,52,0.26,56,32,0,1,0,0,0,897/HD,
398,Yanquiel Fernández*,22,COL,NL,-0.8,52,147,138,13,31,5,0,4,11,0,0,8,44,0.225,0.265,0.348,0.613,63,0.269,55,48,4,0,0,1,0,D9/H7,
399,Warming Bernabel,23,COL,NL,0,40,146,139,15,35,8,1,4,14,1,1,7,25,0.252,0.288,0.41,0.698,84,0.311,86,57,2,0,0,0,0,3/5DH,
400,Joshua Palacios*,29,CHW,AL,-1.2,51,145,128,11,26,4,0,3,9,0,0,12,36,0.203,0.292,0.305,0.596,68,0.276,70,39,0,4,1,0,0,97/HD,
401,DJ LeMahieu,36,NYY,AL,0.6,45,142,128,13,34,3,0,2,12,0,0,14,35,0.266,0.338,0.336,0.674,89,0.307,94,43,4,0,0,0,0,4/H,
402,Jake Rogers,30,DET,AL,0.2,46,142,123,14,23,5,2,3,19,0,0,15,39,0.187,0.277,0.333,0.61,69,0.28,74,41,3,1,1,2,0,2/1HD,
403,Lane Thomas,29,CLE,AL,-0.6,39,142,125,10,20,2,0,4,11,4,1,14,44,0.16,0.246,0.272,0.518,45,0.242,44,34,4,1,0,2,0,8/H9D,
404,Reese McGuire*,30,CHC,NL,0.3,44,140,133,17,30,2,0,9,24,0,0,4,27,0.226,0.245,0.444,0.688,93,0.289,87,59,3,0,1,2,0,2/H1,
405,Kyren Paris,23,LAA,AL,0.8,44,140,126,20,24,4,1,6,11,7,1,10,59,0.19,0.266,0.381,0.647,80,0.302,86,48,1,3,0,0,0,84/H7D,
406,CJ Kayfus*,23,CLE,AL,0.2,44,138,123,16,27,10,1,4,19,4,0,11,38,0.22,0.292,0.415,0.707,95,0.311,91,51,0,2,1,1,0,93/HD,
407,Dylan Beavers*,23,BAL,AL,1,35,137,110,16,25,5,1,4,14,2,2,26,36,0.227,0.375,0.4,0.775,120,0.346,128,44,0,0,1,0,0,79/H,
408,Christian Encarnacion-Strand,25,CIN,NL,-0.6,36,137,130,13,27,4,0,6,19,0,2,3,32,0.208,0.234,0.377,0.61,63,0.254,53,49,1,2,0,2,0,05-Mar,
