Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
236,Graham Ashcraft,27,CIN,NL,0.2,8,5,0.615,3.99,62,0,5,0,0,0,65.1,68,37,29,2,25,0,64,0,0,5,284,113,2.72,1.423,9.4,0.3,3.4,8.8,2.56,
237,Camilo Doval,27,2TM,2LG,0.4,4,3,0.571,3.58,69,0,37,0,0,16,65.1,51,34,26,4,35,1,72,3,4,4,278,113,3.47,1.316,7,0.6,4.8,9.9,2.06,
237,Camilo Doval,27,SFG,NL,0.7,4,2,0.667,3.09,47,0,29,0,0,15,46.2,32,20,16,2,24,1,50,2,2,3,191,130,3.22,1.2,6.2,0.4,4.6,9.6,2.08,
237,Camilo Doval,27,NYY,AL,-0.3,0,1,0,4.82,22,0,8,0,0,1,18.2,19,14,10,2,11,0,22,1,2,1,87,87,4.1,1.607,9.2,1,5.3,10.6,2,
238,Caleb Ferguson*,28,2TM,2LG,1,5,4,0.556,3.58,70,0,4,0,0,0,65.1,54,27,26,2,22,3,51,6,0,1,270,118,3.26,1.163,7.4,0.3,3,7,2.32,
238,Caleb Ferguson*,28,PIT,NL,0.8,2,2,0.5,3.74,45,0,2,0,0,0,43.1,33,18,18,1,14,2,34,5,0,0,176,118,3.18,1.085,6.9,0.2,2.9,7.1,2.43,
238,Caleb Ferguson*,28,SEA,AL,0.2,3,2,0.6,3.27,25,0,2,0,0,0,22,21,9,8,1,8,1,17,1,0,1,94,118,3.41,1.318,8.6,0.4,3.3,7,2.13,
239,Kolby Allard*,27,CLE,AL,1.2,2,2,0.5,2.63,33,2,16,0,0,0,65,64,22,19,5,14,3,42,1,0,0,266,157,3.54,1.2,8.9,0.7,1.9,5.8,3,
240,Anthony Banda*,31,LAD,NL,0.9,5,1,0.833,3.18,71,1,15,0,0,0,65,45,23,23,8,34,6,61,2,0,7,268,129,4.52,1.215,6.2,1.1,4.7,8.4,1.79,
241,Justin Sterner,28,ATH,AL,1.8,4,3,0.571,3.18,59,1,8,0,0,0,65,47,24,23,10,21,2,70,7,0,1,266,136,4.27,1.046,6.5,1.4,2.9,9.7,3.33,
242,Hogan Harris*,28,ATH,AL,1.5,2,1,0.667,3.2,48,0,20,0,0,4,64.2,54,26,23,5,33,4,65,1,0,1,277,135,3.71,1.345,7.5,0.7,4.6,9,1.97,
